playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
15998,Cody Bellinger,LAD,132,109,47,14,32,37,5,14.40%,11.40%,0.459,0.398,0.431,0.508,0.89,34.00%,29.90%,36.10%,5.70%,40.00%,22.60%,66.00%,40.70%,81.10%,88.40%,86.00%,0.406
11477,Christian Yelich,MIL,124,102,36,14,26,34,6,16.10%,16.10%,0.451,0.319,0.353,0.46,0.804,15.70%,43.40%,41.00%,11.80%,41.20%,27.90%,72.40%,44.80%,56.60%,87.80%,75.70%,0.429
17975,Scott Kingery,PHI,35,32,13,2,5,6,1,2.90%,14.30%,0.313,0.44,0.406,0.457,0.719,14.80%,51.90%,33.30%,0.00%,22.20%,40.20%,74.50%,53.50%,54.30%,85.40%,71.10%,0.315
7927,Eric Sogard,TOR,49,43,17,3,8,9,2,10.20%,10.20%,0.302,0.4,0.395,0.458,0.698,29.70%,29.70%,40.50%,0.00%,20.00%,27.30%,50.50%,37.30%,93.90%,97.80%,96.20%,0.353
14130,Daniel Vogelbach,SEA,92,71,22,8,15,16,0,21.70%,21.70%,0.423,0.318,0.31,0.457,0.732,21.20%,26.90%,51.90%,7.40%,29.60%,23.70%,48.80%,33.70%,66.10%,82.70%,75.70%,0.341
12861,Anthony Rendon,WSN,86,73,26,6,21,18,0,10.50%,17.40%,0.384,0.377,0.356,0.442,0.74,20.30%,30.50%,49.20%,10.30%,20.70%,22.90%,64.60%,40.30%,71.70%,93.50%,86.30%,0.412
15161,Mitch Garver,MIN,50,46,16,5,11,10,0,8.00%,26.00%,0.413,0.393,0.348,0.4,0.761,18.20%,42.40%,39.40%,0.00%,38.50%,20.90%,51.10%,32.90%,57.10%,91.10%,78.10%,0.365
13499,Tom Murphy,SEA,30,27,10,2,3,4,0,10.00%,36.70%,0.333,0.571,0.37,0.433,0.704,37.50%,12.50%,50.00%,0.00%,25.00%,29.50%,64.50%,45.00%,39.10%,82.50%,66.70%,0.324
15117,Hunter Dozier,KCR,103,86,30,7,14,17,0,14.60%,17.50%,0.337,0.371,0.349,0.447,0.686,18.80%,31.90%,49.30%,0.00%,20.60%,22.40%,55.30%,37.00%,51.10%,94.40%,79.90%,0.348
15672,Austin Meadows,TBR,83,74,26,6,11,19,3,9.60%,21.70%,0.324,0.4,0.351,0.422,0.676,23.20%,33.90%,42.90%,12.50%,25.00%,26.90%,56.70%,38.50%,58.30%,83.80%,72.90%,0.364
17321,Michael Chavis,BOS,39,32,10,3,7,8,1,15.40%,25.60%,0.313,0.368,0.313,0.436,0.625,9.10%,45.50%,45.50%,10.00%,30.00%,24.20%,67.10%,42.90%,50.00%,68.10%,62.30%,0.322
14128,Joey Gallo,TEX,109,87,23,10,20,25,0,19.30%,34.90%,0.414,0.325,0.264,0.404,0.678,28.00%,30.00%,42.00%,4.80%,47.60%,23.30%,69.40%,41.20%,32.40%,74.40%,59.90%,0.389
10155,Mike Trout,LAA,119,85,25,6,19,16,4,24.40%,11.80%,0.271,0.288,0.294,0.487,0.565,27.80%,31.90%,40.30%,6.90%,20.70%,16.10%,57.90%,33.50%,81.40%,96.40%,92.20%,0.438
11609,Willson Contreras,CHC,98,80,23,7,17,17,1,13.30%,28.60%,0.338,0.356,0.288,0.418,0.625,13.70%,41.20%,45.10%,8.70%,30.40%,32.10%,70.30%,45.60%,59.80%,79.80%,70.70%,0.355
8709,Elvis Andrus,TEX,120,108,39,5,19,20,6,8.30%,19.20%,0.222,0.425,0.361,0.425,0.583,30.60%,45.90%,23.50%,0.00%,25.00%,31.10%,57.10%,42.00%,61.20%,83.90%,74.10%,0.313
15172,Tim Anderson,CHW,99,96,36,6,21,18,10,2.00%,21.20%,0.24,0.435,0.375,0.394,0.615,22.70%,46.70%,30.70%,4.30%,26.10%,44.80%,79.40%,58.00%,66.30%,88.50%,77.90%,0.357
15149,Trey Mancini,BAL,121,110,39,6,23,14,0,8.30%,20.70%,0.264,0.413,0.355,0.405,0.618,25.60%,37.20%,37.20%,12.50%,18.80%,33.70%,69.30%,48.70%,68.80%,81.40%,76.40%,0.364
15653,Dominic Smith,NYM,34,27,10,0,7,4,0,17.60%,17.60%,0.074,0.476,0.37,0.5,0.444,23.80%,42.90%,33.30%,14.30%,0.00%,29.70%,63.80%,43.00%,77.80%,73.00%,75.00%,0.355
18015,Paul DeJong,STL,129,117,40,5,26,13,2,7.80%,17.10%,0.265,0.389,0.342,0.403,0.607,27.40%,29.50%,43.20%,9.80%,12.20%,25.50%,72.30%,46.60%,60.60%,85.10%,77.70%,0.318
19251,Pete Alonso,NYM,123,106,31,9,20,26,0,11.40%,28.50%,0.349,0.349,0.292,0.382,0.642,19.40%,41.70%,38.90%,7.10%,32.10%,33.70%,63.70%,45.00%,57.00%,83.10%,70.90%,0.358
16472,Rhys Hoskins,PHI,128,104,29,8,19,24,0,16.40%,25.80%,0.308,0.333,0.279,0.414,0.587,19.70%,29.60%,50.70%,16.70%,22.20%,22.40%,57.80%,37.60%,68.80%,84.60%,79.20%,0.364
12858,Brian Goodwin,LAA,95,80,27,4,19,11,0,12.60%,21.10%,0.238,0.404,0.338,0.426,0.575,29.50%,32.80%,37.70%,0.00%,17.40%,24.60%,60.10%,40.20%,61.40%,85.50%,77.20%,0.326
3174,Shin-Soo Choo,TEX,117,102,34,3,20,11,2,11.10%,18.80%,0.235,0.403,0.333,0.419,0.569,20.30%,45.60%,34.20%,0.00%,11.10%,20.90%,67.30%,42.60%,45.30%,84.70%,74.40%,0.371
15362,Jeff McNeil,NYM,116,100,37,1,15,12,0,8.60%,9.50%,0.13,0.409,0.37,0.457,0.5,21.80%,46.00%,32.20%,10.70%,3.60%,31.90%,78.10%,51.10%,67.10%,88.60%,80.80%,0.384
13419,Christian Walker,ARI,113,101,31,7,16,15,3,10.60%,29.20%,0.307,0.393,0.307,0.381,0.614,19.10%,41.20%,39.70%,7.40%,25.90%,30.40%,73.30%,48.00%,46.80%,75.00%,64.50%,0.348
13152,Jorge Polanco,MIN,113,100,32,5,15,10,0,9.70%,15.90%,0.28,0.346,0.32,0.389,0.6,27.20%,19.80%,53.10%,7.00%,11.60%,30.20%,62.40%,43.80%,77.50%,88.40%,84.10%,0.356
4229,Howie Kendrick,WSN,63,51,16,4,11,13,0,12.70%,14.30%,0.294,0.293,0.314,0.397,0.608,15.60%,42.20%,42.20%,0.00%,21.10%,28.90%,65.90%,43.00%,78.00%,96.60%,88.90%,0.395
13338,Omar Narvaez,SEA,91,77,25,5,20,13,0,13.20%,18.70%,0.221,0.357,0.325,0.418,0.545,21.30%,32.80%,45.90%,7.10%,17.90%,27.60%,71.20%,45.90%,75.80%,81.00%,79.20%,0.353
17027,Alex Verdugo,LAD,72,69,23,4,8,16,0,4.20%,11.10%,0.29,0.333,0.333,0.361,0.623,21.30%,45.90%,32.80%,0.00%,20.00%,25.30%,59.40%,40.20%,80.00%,95.10%,89.80%,0.342
16578,Yandy Diaz,TBR,114,94,28,7,18,18,1,14.90%,17.50%,0.298,0.3,0.298,0.395,0.596,14.30%,54.50%,31.20%,8.30%,29.20%,21.20%,69.30%,41.00%,63.20%,80.20%,75.00%,0.34
9134,Tyler Flowers,ATL,59,53,18,3,7,4,0,6.80%,30.50%,0.208,0.469,0.34,0.407,0.547,28.60%,34.30%,37.10%,7.70%,23.10%,24.60%,64.90%,42.90%,48.50%,83.30%,72.40%,0.319
2434,Nelson Cruz,MIN,91,78,23,5,14,15,0,11.00%,25.30%,0.269,0.36,0.295,0.396,0.564,29.10%,23.60%,47.30%,3.80%,19.20%,27.20%,70.50%,42.60%,47.70%,82.80%,68.40%,0.392
