,playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP,Predicted_OBP,Percent_Error
0,15998,Cody Bellinger,LAD,132,109,47,14,32,37,5,0.14400000000000002,0.114,0.459,0.398,0.431,0.508,0.89,0.34,0.299,0.361,0.057,0.4,0.226,0.66,0.40700000000000003,0.8109999999999999,0.884,0.86,0.406,0.49930050180457225,0.22980419163687738
1,11477,Christian Yelich,MIL,124,102,36,14,26,34,6,0.161,0.161,0.451,0.319,0.353,0.46,0.804,0.157,0.434,0.41,0.11800000000000001,0.41200000000000003,0.27899999999999997,0.7240000000000001,0.44799999999999995,0.5660000000000001,0.878,0.757,0.429,0.44615990639748226,0.039999781812312986
2,17975,Scott Kingery,PHI,35,32,13,2,5,6,1,0.028999999999999998,0.14300000000000002,0.313,0.44,0.406,0.457,0.719,0.14800000000000002,0.519,0.33299999999999996,0.0,0.222,0.402,0.745,0.535,0.5429999999999999,0.8540000000000001,0.711,0.315,0.4071988014621668,0.29269460781640255
3,7927,Eric Sogard,TOR,49,43,17,3,8,9,2,0.102,0.102,0.302,0.4,0.395,0.458,0.698,0.297,0.297,0.405,0.0,0.2,0.273,0.505,0.373,0.9390000000000001,0.978,0.9620000000000001,0.353,0.48854402943758085,0.383977420503062
4,14130,Daniel Vogelbach,SEA,92,71,22,8,15,16,0,0.217,0.217,0.423,0.318,0.31,0.457,0.732,0.212,0.26899999999999996,0.519,0.07400000000000001,0.29600000000000004,0.237,0.488,0.337,0.6609999999999999,0.8270000000000001,0.757,0.341,0.4622998218133807,0.3557179525319081
5,12861,Anthony Rendon,WSN,86,73,26,6,21,18,0,0.105,0.174,0.384,0.377,0.356,0.442,0.74,0.203,0.305,0.49200000000000005,0.10300000000000001,0.207,0.22899999999999998,0.6459999999999999,0.40299999999999997,0.7170000000000001,0.935,0.863,0.412,0.4626633684527435,0.12296934090471723
6,15161,Mitch Garver,MIN,50,46,16,5,11,10,0,0.08,0.26,0.413,0.393,0.348,0.4,0.761,0.182,0.424,0.39399999999999996,0.0,0.385,0.209,0.511,0.32899999999999996,0.5710000000000001,0.9109999999999999,0.7809999999999999,0.365,0.45550722983565317,0.2479650132483649
7,13499,Tom Murphy,SEA,30,27,10,2,3,4,0,0.1,0.36700000000000005,0.333,0.571,0.37,0.433,0.704,0.375,0.125,0.5,0.0,0.25,0.295,0.645,0.45,0.391,0.825,0.667,0.324,0.4877908233934448,0.5055272326958173
8,15117,Hunter Dozier,KCR,103,86,30,7,14,17,0,0.146,0.175,0.337,0.371,0.349,0.447,0.686,0.188,0.319,0.493,0.0,0.20600000000000002,0.22399999999999998,0.5529999999999999,0.37,0.511,0.9440000000000001,0.799,0.348,0.4445223777301892,0.2773631543970955
9,15672,Austin Meadows,TBR,83,74,26,6,11,19,3,0.096,0.217,0.324,0.4,0.351,0.422,0.676,0.23199999999999998,0.33899999999999997,0.429,0.125,0.25,0.26899999999999996,0.5670000000000001,0.385,0.583,0.838,0.7290000000000001,0.364,0.4350955551251847,0.19531745913512288
